City,State,change
Warren,Michigan,+3.98%
Pasadena,California,+1.15%
Waco,Texas,+10.96%
Cedar Rapids,Iowa,+9.01%
Dayton,Ohio,−2.74%
Elizabeth,New Jersey,+9.87%
Hampton,Virginia,−0.21%
Columbia,South Carolina,+5.69%
Kent,Washington,+47.80%
Stamford,Connecticut,+10.46%
Lakewood,New Jersey,+45.58%
Victorville,California,+16.31%
Miramar,Florida,+10.39%
Coral Springs,Florida,+10.98%
Sterling Heights,Michigan,+3.58%
New Haven,Connecticut,+3.27%
Carrollton,Texas,+12.04%
Midland,Texas,+19.23%
Norman,Oklahoma,+15.42%
Santa Clara,California,+9.60%
Athens,Georgia,+10.28%
Thousand Oaks,California,+0.22%
Topeka,Kansas,−0.70%
Simi Valley,California,+1.71%
Columbia,Missouri,+16.36%
Vallejo,California,+8.75%
Fargo,North Dakota,+19.37%
Allentown,Pennsylvania,+6.62%
Pearland,Texas,+37.89%
Concord,California,+2.74%
Abilene,Texas,+6.94%
Arvada,Colorado,+16.88%
Berkeley,California,+10.43%
Ann Arbor,Michigan,+8.70%
Independence,Missouri,+5.29%
Rochester,Minnesota,+13.70%
Lafayette,Louisiana,+0.62%
Hartford,Connecticut,−2.98%
College Station,Texas,+28.40%
Clovis,California,+25.61%
Fairfield,California,+13.82%
Palm Bay,Florida,+16.06%
Richardson,Texas,+20.40%
Round Rock,Texas,+19.60%
Cambridge,Massachusetts,+12.59%
Meridian,Idaho,+56.65%
West Palm Beach,Florida,+17.51%
Evansville,Indiana,−0.11%
Clearwater,Florida,+8.92%
Billings,Montana,+12.43%
West Jordan,Utah,+12.77%
Richmond,California,+12.29%
Westminster,Colorado,+9.62%
Manchester,New Hampshire,+5.55%
Lowell,Massachusetts,+8.48%
Wilmington,North Carolina,+8.43%
Antioch,California,+12.62%
Beaumont,Texas,−2.55%
Provo,Utah,+2.38%
North Charleston,South Carolina,+17.83%
Elgin,Illinois,+6.11%
Carlsbad,California,+8.94%
Odessa,Texas,+14.50%
Waterbury,Connecticut,+3.66%
Springfield,Illinois,−1.60%
League City,Texas,+36.90%
Downey,California,+2.31%
Gresham,Oregon,+8.19%
High Point,North Carolina,+9.28%
Broken Arrow,Oklahoma,+14.86%
Peoria,Illinois,−1.61%
Lansing,Michigan,−1.45%
Lakeland,Florida,+15.62%
Pompano Beach,Florida,+12.22%
Costa Mesa,California,+1.78%
Pueblo,Colorado,+4.95%
Lewisville,Texas,+17.35%
Miami Gardens,Florida,+4.17%
Las Cruces,New Mexico,+14.10%
Sugar Land,Texas,+40.87%
Murrieta,California,+7.23%
Ventura,California,+4.07%
Everett,Washington,+7.39%
Temecula,California,+9.90%
Dearborn,Michigan,+12.05%
Santa Maria,California,+10.20%
West Covina,California,+3.21%
El Monte,California,−3.55%
